source,headline,link,scraped_at
CNN,New female Archbishop,https://edition.cnn.com/2025/10/03/uk/sarah-mullally-female-archbishop-of-canterbury-intl,2025-10-03T18:12:12.255008
CNN,Synagogue attack,https://edition.cnn.com/2025/10/02/europe/manchester-jewish-community-reeling-after-deadly-attack-intl-latam,2025-10-03T18:12:12.255052
CNN,Fire at Chevron refinery,https://edition.cnn.com/2025/10/03/us/refinery-fire-los-angeles-hnk,2025-10-03T18:12:12.255074
CNN,Prince William opens up,https://edition.cnn.com/2025/10/02/uk/prince-william-interview-eugene-levy-latam-intl,2025-10-03T18:12:12.255090
CNN,Taylor Swift’s new album,https://edition.cnn.com/2025/10/03/entertainment/taylor-swift-album-release,2025-10-03T18:12:12.255112
CNN,‘Peaky Blinders’ sequel,https://edition.cnn.com/2025/10/02/entertainment/peaky-blinders-sequel,2025-10-03T18:12:12.255127
CNN,Food delivery robots,https://edition.cnn.com/2025/10/03/tech/food-delivery-robots-cec,2025-10-03T18:12:12.255142
CNN,Live UpdatesGovernment shutdown likely to linger as Trump administration warns of layoffs,https://edition.cnn.com/politics/live-news/government-shutdown-news-10-03-25,2025-10-03T18:12:12.255157
CNN,AnalysisWhy ‘Obamacare’ is at the center of the government shutdown,https://edition.cnn.com/2025/10/03/politics/obamacare-center-government-shutdown-fight,2025-10-03T18:12:12.255176
CNN,VideoTrump administration continues trolling Democrats0:40,https://edition.cnn.com/2025/10/02/politics/video/trump-administration-continues-trolling-democrats-posts-vrtc,2025-10-03T18:12:12.255194
CNN,Woman appointed Archbishop of Canterbury in a historic first for the Church of England,https://edition.cnn.com/2025/10/03/uk/sarah-mullally-female-archbishop-of-canterbury-intl,2025-10-03T18:12:12.255207
CNN,"Deep in prayer and refraining from using technology on the holiest day, many were unaware of the attack outside a local synagogue",https://edition.cnn.com/2025/10/02/europe/manchester-jewish-community-reeling-after-deadly-attack-intl-latam,2025-10-03T18:12:12.255221
CNN,"One of the victims who died in Manchester attack likely shot by officers, police say",https://edition.cnn.com/2025/10/03/uk/manchester-attack-victim-shot-police-intl,2025-10-03T18:12:12.255234
CNN,VideoCatch up on today’s global news,https://edition.cnn.com/videos/fast/cnni-fast,2025-10-03T18:12:12.255248
CNN,Taylor Swift’s new album: First reactions flood in,https://edition.cnn.com/2025/10/03/entertainment/taylor-swift-album-release,2025-10-03T18:12:12.255260
CNN,VideoTaylor Swift releases ‘The Life of a Showgirl’0:47,https://edition.cnn.com/2025/10/03/entertainment/video/album-song-release-taylor-swift-digvid,2025-10-03T18:12:12.255276
CNN,American climber Balin Miller dies aged 23 while climbing El Capitan,https://edition.cnn.com/2025/10/03/sport/climbing-balin-miller-death-intl,2025-10-03T18:12:12.255287
CNN,A two-day internet blackout shows even the Taliban can’t turn back time,https://edition.cnn.com/2025/10/03/asia/afghanistan-internet-shutdown-intl-hnk-dst,2025-10-03T18:12:12.255300
CNN,Germany’s Munich the latest European airport forced to close after wave of drone sightings,https://edition.cnn.com/2025/10/02/europe/munich-airport-closed-drone-sighting-intl-hnk,2025-10-03T18:12:12.255316
CNN,Massive fire breaks out at Chevron refinery near Los Angeles,https://edition.cnn.com/2025/10/03/us/refinery-fire-los-angeles-hnk,2025-10-03T18:12:12.255337
